datetime,open,high,low,close,volume
2025-01-08,242.19,243.7123,240.05,242.16,26588274.0
2025-01-09,242.31,242.51,242.19,242.4,36991.0
2025-01-10,243.44,244.0,233.0,237.01,45468970.0
2025-01-11,236.96,237.0399,236.95,237.02,18283.0
2025-01-12,,,,,0.0
2025-01-13,235.0,235.98,229.72,235.43,37964751.0
2025-01-14,235.33,236.42,232.472,233.35,27656606.0
2025-01-15,233.4,238.96,233.4,238.2735,27498591.0
2025-01-16,238.41,241.41,227.7,228.47,59712511.0
2025-01-17,228.45,232.3,228.3512,229.8226,57956840.0
2025-01-18,229.8,230.0,229.2742,229.499,219275.0
2025-01-19,,,,,0.0
2025-01-20,,,,,0.0
2025-01-21,227.33,228.27,219.38,221.921,77183713.0
2025-01-22,221.92,224.12,219.05,223.3607,48821448.0
2025-01-23,223.4,227.03,222.22,223.255,50295216.0
2025-01-24,223.2601,226.29,221.41,222.15,44494859.0
2025-01-25,222.2,222.34,222.03,222.17,38030.0
2025-01-26,,,,,0.0
2025-01-27,219.9,232.15,218.06,229.7745,76240712.0
2025-01-28,229.77,240.19,228.52,237.6,61988932.0
2025-01-29,237.69,239.98,232.98,238.8001,37417712.0
2025-01-30,238.85,248.35,232.97,245.0,48893941.0
2025-01-31,244.95,248.2299,233.44,234.9202,79006432.0
2025-02-01,234.92,235.0695,233.92,233.92,73244.0
2025-02-02,,,,,0.0
2025-02-03,232.79,235.41,225.7,229.1,62962194.0
2025-02-04,229.0792,233.13,226.18,232.25,36547362.0
2025-02-05,232.13,233.0,225.02,232.1718,28682216.0
2025-02-06,232.0317,233.8,230.425,232.7785,23838003.0
2025-02-07,233.1,234.0,227.25,227.27,32547431.0
2025-02-08,227.27,227.3,227.25,227.25,16372.0
2025-02-09,,,,,0.0
2025-02-10,228.5,230.585,226.75,226.9,25027180.0
2025-02-11,226.8996,235.23,226.0,232.9133,44616545.0
2025-02-12,232.8,236.99,230.41,236.97,35320128.0
2025-02-13,236.95,242.3399,235.3,241.4,38592669.0
2025-02-14,241.35,245.55,240.47,244.7925,34211077.0
2025-02-15,244.75,244.78,244.5025,244.65,6682.0
2025-02-16,,,,,0.0
2025-02-17,,,,,0.0
2025-02-18,245.05,245.51,241.84,244.9486,34031596.0
2025-02-19,244.9,246.01,243.1604,244.58,24525761.0
2025-02-20,244.65,246.78,243.5,245.69,25442845.0
2025-02-21,245.69,248.69,245.0,245.21,45178813.0
2025-02-22,245.18,245.2353,245.0,245.0,22739.0
2025-02-23,,,,,0.0
2025-02-24,245.39,248.86,241.55,247.55,41252430.0
2025-02-25,247.6,250.0,244.91,246.35,39141905.0
2025-02-26,246.43,247.23,239.0,239.78,36571705.0
2025-02-27,239.79,242.46,236.75,237.7,33410961.0
2025-02-28,238.0,242.26,230.2,242.0001,38970400.0
2025-03-01,242.0,242.08,241.61,241.8981,21225.0
2025-03-02,,,,,0.0
2025-03-03,241.62,244.0272,236.112,238.14,36602157.0
2025-03-04,238.23,240.49,234.68,238.0,43010011.0
2025-03-05,237.964,238.2,229.23,235.74,37940349.0
2025-03-06,235.74,237.86,233.1581,234.77,36248027.0
2025-03-07,234.78,241.37,233.9455,238.53,40181968.0
2025-03-08,238.56,238.78,238.51,238.65,5164.0
2025-03-09,,,,,0.0
2025-03-10,237.49,238.473,224.22,225.26,60817016.0
2025-03-11,225.84,228.21,217.45,221.0623,63122855.0
